0 --> 1:  		 new_cost=13 oldcost:1000
0 --> 2:  		 new_cost=11 oldcost:1000
0 --> 3:  3  		 new_cost=9 oldcost:9
0 --> 4:  4  		 new_cost=9 oldcost:9
0 --> 5:  		 new_cost=13 oldcost:1000
0 --> 6:  6  		 new_cost=5 oldcost:5
0 --> 7:  		 new_cost=13 oldcost:1000
1 --> 0:  		 new_cost=2 oldcost:1000
1 --> 2:  2  		 new_cost=9 oldcost:9
1 --> 3:  		 new_cost=11 oldcost:1000
1 --> 4:  		 new_cost=9 oldcost:1000
1 --> 5:  		 new_cost=15 oldcost:1000
1 --> 6:  		 new_cost=6 oldcost:1000
1 --> 7:  7  		 new_cost=0 oldcost:0
2 --> 0:  0  		 new_cost=7 oldcost:9
2 --> 1:  1  		 new_cost=5 oldcost:5
2 --> 3:  3  		 new_cost=2 oldcost:2
2 --> 4:  4  		 new_cost=3 oldcost:3
2 --> 5:  		 new_cost=6 oldcost:1000
2 --> 6:  6  		 new_cost=3 oldcost:3
2 --> 7:  7  		 new_cost=5 oldcost:8
3 --> 0:  		 new_cost=6 oldcost:1000
3 --> 1:  1  		 new_cost=4 oldcost:4
3 --> 2:  2  		 new_cost=2 oldcost:2
3 --> 4:  		 new_cost=5 oldcost:1000
3 --> 5:  5  		 new_cost=4 oldcost:4
3 --> 6:  		 new_cost=5 oldcost:1000
3 --> 7:  7  		 new_cost=4 oldcost:8
4 --> 0:  		 new_cost=8 oldcost:1000
4 --> 1:  		 new_cost=7 oldcost:1000
4 --> 2:  2  		 new_cost=8 oldcost:8
4 --> 3:  		 new_cost=10 oldcost:1000
4 --> 5:  5  		 new_cost=7 oldcost:7
4 --> 6:  6  		 new_cost=8 oldcost:8
4 --> 7:  7  		 new_cost=6 oldcost:6
5 --> 0:  		 new_cost=2 oldcost:1000
5 --> 1:  1  		 new_cost=0 oldcost:0
5 --> 2:  2  		 new_cost=8 oldcost:8
5 --> 3:  		 new_cost=10 oldcost:1000
5 --> 4:  4  		 new_cost=5 oldcost:5
5 --> 6:  		 new_cost=6 oldcost:1000
5 --> 7:  		 new_cost=0 oldcost:1000
6 --> 0:  		 new_cost=13 oldcost:1000
6 --> 1:  		 new_cost=11 oldcost:1000
6 --> 2:  2  		 new_cost=6 oldcost:6
6 --> 3:  3  		 new_cost=8 oldcost:8
6 --> 4:  		 new_cost=9 oldcost:1000
6 --> 5:  		 new_cost=12 oldcost:1000
6 --> 7:  		 new_cost=11 oldcost:1000
7 --> 0:  0  		 new_cost=2 oldcost:2
7 --> 1:  1  		 new_cost=2 oldcost:2
7 --> 2:  		 new_cost=11 oldcost:1000
7 --> 3:  		 new_cost=11 oldcost:1000
7 --> 4:  4  		 new_cost=9 oldcost:9
7 --> 5:  		 new_cost=15 oldcost:1000
7 --> 6:  6  		 new_cost=6 oldcost:6
